Fahrten,Namen
412,Worb
339,Bern
14,Köniz
12,Walkringen
11,Burgdorf
10,Belp
7,Ostermundigen
4,Arni (BE)
4,Oberburg
3,Kirchberg (BE)
3,Kehrsatz
2,Sumiswald
2,Landiswil
2,Hasle bei Burgdorf
2,Schwarzenburg
1,Zürich
1,Hindelbank
1,Rapperswil (BE)
1,Olten
1,Bremgarten bei Bern
