Fahrten,Namen
2251,Bern
1376,Boll-Utzigen
862,Deisswil
745,Worb Dorf
506,Vechigen
488,Stettlen
481,Worbboden
379,"Bolligen, Bahnhof"
378,Worblaufen
305,Ittigen bei Bern
303,Bolligen
231,Papiermühle
219,"Bern, Hirschengraben"
177,"Ostermundigen, Kreuzweg"
139,"Ostermundigen, Waldeck"
132,"Worb Dorf, Bahnhof"
131,"Boll-Utzigen, Rain"
128,"Bern, Wankdorfbrücke"
125,"Ittigen, Pulverstutz"
123,"Bern, Wankdorfplatz"
