Fahrten,Namen
51,Fraubrunnen
40,Bern
3,Jegenstorf
3,Solothurn
2,Ittigen
1,Worb
1,Zuchwil
0,Ostermundigen
0,Rapperswil (BE)
0,Zollikofen
