Fahrten,Namen
165,Bern
165,Biberist RBS
39,"Gerlafingen, Dorfzentrum"
7,"Gerlafingen, Bolacker"
6,Papiermühle
2,Bern Europaplatz
2,Bern Bümpliz Süd
2,Gümligen
2,Münchenbuchsee
1,Lyss
1,"Biberist, Kaiserstrasse"
1,Bern Brünnen Westside
1,"Zielebach, Gemeindehaus"
1,Münsingen
1,Schüpfen
1,Thörishaus Dorf
1,"Zollikofen, Lüftern"
1,"Worblaufen, Bahnhof"
1,"Zollikofen, Schulhaus West"
0,Niederwangen
