Fahrten,Namen
811,Oberzollikofen
811,Bern
73,Biel/Bienne
54,Thun
36,Burgdorf
24,"Bern, Eigerplatz"
21,"Bern, Inselpark"
20,Bern Bümpliz Nord
17,Bern Brünnen Westside
12,"Bümpliz, Bachmätteli"
11,"Bern, Dübystrasse"
11,Belp
10,Liebefeld
10,Fribourg/Freiburg
9,"Köniz, Zentrum"
9,Olten
9,"Schliern, Eichmatt"
8,Bern Marzili
8,"Biel/Bienne, Leubringenbahn"
8,Zürich HB
