Fahrten,Namen
128,Deisswil
128,Bern
6,Bern Bümpliz Süd
4,Bern Europaplatz
3,Bern (Marzilibahn)
3,Münchenbuchsee
2,Münsingen
2,Thun
2,Burgdorf
1,Bern Brünnen Westside
1,"Thun, Postbrücke"
1,Belp
1,Biel/Bienne
1,Lyss
1,Belp Steinbach
1,Kehrsatz
1,"Biel/Bienne, Bahnhof/Gare"
1,"Thun, Progymatte"
1,"Bern Brünnen Westside, Bahnhof"
1,"Frauenkappelen, Hübeli"
