Fahrten,Namen
466,Worb Dorf
167,Bern
84,"Bern, Zytglogge"
34,Worblaufen
33,"Bern, Kocherpark"
31,Gümligen
27,Scheyenholz
17,"Bern, Egghölzli"
14,Ittigen bei Bern
13,Thun
12,"Bern, Hirschengraben"
11,Münsingen
9,Deisswil
9,"Bern, Inselplatz"
7,Langnau i.E.
7,Muri bei Bern
6,Papiermühle
6,"Bern, Brunnadernstrasse"
6,"Bern, Sulgenau"
6,Oberzollikofen
